value	description	codesystem	code	iri
mixed endoderm/mesoderm-derived structure	mixed endoderm/mesoderm-derived structure	UBERON	0000077	http://purl.obolibrary.org/obo/UBERON_0000077
mixed ectoderm/mesoderm/endoderm-derived structure	mixed ectoderm/mesoderm/endoderm-derived structure	UBERON	0000078	http://purl.obolibrary.org/obo/UBERON_0000078
male reproductive system	male reproductive system	UBERON	0000079	http://purl.obolibrary.org/obo/UBERON_0000079
mesonephros	mesonephros	UBERON	0000080	http://purl.obolibrary.org/obo/UBERON_0000080
metanephros	metanephros	UBERON	0000081	http://purl.obolibrary.org/obo/UBERON_0000081
adult mammalian kidney	adult mammalian kidney	UBERON	0000082	http://purl.obolibrary.org/obo/UBERON_0000082
mesonephric tubule	mesonephric tubule	UBERON	0000083	http://purl.obolibrary.org/obo/UBERON_0000083
ureteric bud	ureteric bud	UBERON	0000084	http://purl.obolibrary.org/obo/UBERON_0000084
morula	morula	UBERON	0000085	http://purl.obolibrary.org/obo/UBERON_0000085
zona pellucida	zona pellucida	UBERON	0000086	http://purl.obolibrary.org/obo/UBERON_0000086
inner cell mass	inner cell mass	UBERON	0000087	http://purl.obolibrary.org/obo/UBERON_0000087
trophoblast	trophoblast	UBERON	0000088	http://purl.obolibrary.org/obo/UBERON_0000088
hypoblast (generic)	hypoblast (generic)	UBERON	0000089	http://purl.obolibrary.org/obo/UBERON_0000089
blastocele	blastocele	UBERON	0000090	http://purl.obolibrary.org/obo/UBERON_0000090
bilaminar disc	bilaminar disc	UBERON	0000091	http://purl.obolibrary.org/obo/UBERON_0000091
post-embryonic stage	post-embryonic stage	UBERON	0000092	http://purl.obolibrary.org/obo/UBERON_0000092
sulcus	sulcus	UBERON	0000093	http://purl.obolibrary.org/obo/UBERON_0000093
membrane organ	membrane organ	UBERON	0000094	http://purl.obolibrary.org/obo/UBERON_0000094
cardiac neural crest	cardiac neural crest	UBERON	0000095	http://purl.obolibrary.org/obo/UBERON_0000095
